	A	B	C	D	NEXTWEEKBAP	BAP	CONF	BD	SAC	PK	OL	NIMISSFIND	NIMEMREF	RCLA	LAC	RCT
2016:1:5:7:SOUTH	0	0	23	29	0	1	1	72	29	85	145	77	0	43	17	0
2016:1:5:7:TAIDONG	1	2	17	18	3	0	0	43	16	46	86	24	0	21	8	1
2016:1:5:7:TAOYUAN	3	1	19	30	2	2	2	81	18	84	147	53	0	64	11	1
2016:1:5:7:WEST	0	3	13	31	0	3	3	58	17	62	137	50	0	35	10	0
2016:1:5:7:XINZHU	1	2	19	23	2	2	2	53	20	68	105	35	0	40	16	1
2016:1:5:7:ZHUNAN	1	0	5	17	1	2	2	28	16	42	63	24	0	22	6	0
2016:2:1:7:CENTRAL	0	1	13	25	0	0	0	51	14	79	139	64	2	36	3	5
2016:2:1:7:EAST	0	2	18	40	0	1	0	70	24	92	163	68	0	49	11	1
2016:2:1:7:HUALIAN	0	1	8	15	0	0	0	34	10	35	47	26	1	19	2	0
2016:2:1:7:NORTH	2	3	4	10	0	0	0	31	5	46	55	21	2	24	6	0
2016:2:1:7:OFFICE	0	0	7	7	0	0	0	25	1	7	17	7	2	5	2	0
2016:2:1:7:SOUTH	0	1	25	34	0	0	0	81	17	87	130	71	0	43	13	0
2016:2:1:7:TAIDONG	0	2	15	19	1	1	1	40	6	33	81	21	0	19	5	0
2016:2:1:7:TAOYUAN	3	0	15	32	0	1	1	82	15	85	171	57	0	43	12	0
2016:2:1:7:WEST	1	3	17	26	0	0	0	58	13	71	118	43	1	52	16	0
2016:2:1:7:XINZHU	1	3	18	22	0	0	0	51	12	58	126	51	0	44	13	0
2016:2:1:7:ZHUNAN	1	1	7	8	0	0	0	22	6	42	80	23	0	26	6	0
2016:2:2:7:CENTRAL	0	2	16	20	1	0	0	61	16	70	112	56	5	31	7	1
2016:2:2:7:EAST	0	2	14	34	2	1	2	63	21	57	135	47	2	49	17	0
2016:2:2:7:HUALIAN	1	2	13	14	2	0	0	37	12	37	52	26	4	20	9	0
2016:2:2:7:NORTH	2	4	4	9	0	0	0	28	13	36	64	30	5	20	9	0
2016:2:2:7:OFFICE	0	0	6	6	0	0	0	20	6	6	8	7	3	10	5	0
2016:2:2:7:SOUTH	0	2	29	27	2	0	0	80	34	90	125	75	2	46	20	0
2016:2:2:7:TAIDONG	2	2	13	18	2	0	0	40	9	26	65	32	4	24	12	0
2016:2:2:7:TAOYUAN	2	1	9	35	1	1	1	80	28	57	145	68	5	53	24	0
2016:2:2:7:WEST	1	5	15	24	1	0	0	58	24	40	66	33	3	39	15	0
2016:2:2:7:XINZHU	2	4	12	22	3	0	0	44	18	44	86	34	4	37	14	1
2016:2:2:7:ZHUNAN	0	2	5	2	1	2	2	13	9	40	69	21	4	24	6	0
2016:2:3:7:CENTRAL	1	2	14	21	3	1	1	65	20	93	139	55	6	39	9	1
2016:2:3:7:EAST	0	1	16	29	0	2	2	61	26	103	135	59	0	57	16	2
2016:2:3:7:HUALIAN	1	2	10	15	1	2	2	40	10	39	79	40	1	23	9	1
2016:2:3:7:NORTH	2	3	4	5	0	0	0	28	10	40	66	37	0	26	8	1
2016:2:3:7:OFFICE	0	0	10	14	0	0	0	28	9	9	13	8	4	6	2	0
2016:2:3:7:SOUTH	1	3	24	23	3	2	2	74	34	119	100	62	5	49	20	2
2016:2:3:7:TAIDONG	0	2	16	11	2	1	1	32	12	45	83	31	0	21	12	0
2016:2:3:7:TAOYUAN	0	2	16	27	1	1	0	78	34	104	119	79	2	44	26	0
2016:2:3:7:WEST	1	3	14	29	2	2	2	68	27	73	89	57	8	47	15	2
2016:2:3:7:XINZHU	3	2	12	24	4	2	2	46	20	70	93	46	1	44	21	2
2016:2:3:7:ZHUNAN	0	4	6	6	1	0	0	19	11	43	81	29	1	25	10	0
