	CLASSLEVEL	TOTALSTUDENTS	TOTALNONMEM	NEWSTUDENTS	NEWINV
2016:3:0:0:0:ZHONGLI_1	BEGINNER	15	7	1	0
2016:3:0:0:0:ZHONGLI_2	Beginning/Intermediate	36	28	6	0
2016:3:0:0:0:ZHUBEI_1	gaoji	10	10	2	4
2016:3:0:0:0:ZHUBEI_2	begin	51	41	11	5
2016:3:0:0:0:ZHUBEI_3	children	32	7	3	0
2016:3:0:0:0:ZHUDONG	ADV	43	35	1	0
2016:3:0:0:0:ZHUNAN	CHUJI	31	26	7	5
2016:3:0:0:1:BADE	中	3	2	1	1
2016:3:0:0:1:BEITOU	BEGINNER	12	10	3	2
2016:3:0:0:1:HUALIAN_1	gaoji	20	15	1	0
2016:3:0:0:1:JILONG	Advance	12	9	2	0
2016:3:0:0:1:LONGTAN	advanced	6	2	0	0
2016:3:0:0:1:MIAOLI	intermediate	10	8	2	0
2016:3:0:0:1:MUZHA	BEGINNER	6	5	4	0
2016:3:0:0:1:NEIHU	advanced	11	10	3	0
2016:3:0:0:1:SANXIA	ADVANCED	8	5	1	1
2016:3:0:0:1:SHILIN	中級	5	5	1	0
2016:3:0:0:1:SIYUAN	advanced	11	0	0	0
2016:3:0:0:1:SONGSHAN	children	8	6	0	0
2016:3:0:0:1:XIZHI	intermediate	7	6	1	0
2016:3:0:0:1:ZHUDONG	adv	30	24	1	0
2016:3:0:0:2:NEIHU	adv	20	17	2	0
