	A	B	C	D	NEXTWEEKBAP	BAP	BD	SAC	PK	NIMISSFIND	NIMEMREF	OL
2016:2:4:7:TOUFEN_MIAOLI	0	1	3	6	1	0	12	4	21	18	0	34
2016:2:4:7:TUCHENG	0	0	6	12	0	0	26	7	35	20	1	47
2016:2:4:7:WANDA	2	3	13	12	2	1	43	16	44	29	3	71
2016:2:4:7:XINAN	1	1	21	15	0	1	48	18	37	23	3	50
2016:2:4:7:XINDIAN	0	0	7	5	0	1	16	11	26	11	3	20
2016:2:4:7:XINZHU	0	3	6	10	1	0	19	3	24	25	1	43
2016:2:4:7:XINZHUANG	0	2	3	5	1	0	11	6	16	7	2	12
2016:2:4:7:XIZHI	0	0	2	3	0	0	10	8	20	17	0	33
2016:2:4:7:YILAN	0	0	2	9	0	0	20	6	27	25	0	45
2016:2:4:7:YULI	0	0	2	4	0	0	6	1	7	10	0	29
2016:2:4:7:ZHONGLI	1	0	2	6	0	0	23	5	13	6	0	14
2016:2:4:7:ZHUBEI	0	1	3	5	1	3	9	8	26	17	1	26
2016:2:4:7:ZHUDONG	0	0	2	2	0	0	4	5	14	8	0	17
2016:2:4:7:ZHUNAN	0	1	3	8	1	1	16	8	29	17	5	35
2016:3:1:7:BADE	0	2	4	10	2	0	29	9	28	21	0	24
2016:3:1:7:BANQIAO	1	1	8	8	0	0	24	5	29	12	3	31
2016:3:1:7:BEITOU	0	3	4	6	0	0	15	10	45	17	4	25
2016:3:1:7:HUALIAN	0	0	6	6	0	0	23	4	13	12	0	19
2016:3:1:7:JIAN	1	1	2	6	1	0	17	4	29	17	1	38
2016:3:1:7:JILONG	0	0	5	8	0	0	13	6	19	6	1	10
2016:3:1:7:JINGXIN	0	0	5	8	0	2	20	12	29	20	0	33
2016:3:1:7:JINHUA	2	1	3	10	2	0	18	6	24	17	0	36
2016:3:1:7:OFFICE	0	2	8	11	0	0	27	6	11	8	0	17
2016:3:1:7:SANCHONG	0	0	9	7	2	0	19	13	31	9	4	29
2016:3:1:7:SHILIN	0	0	0	1	0	0	5	3	14	16	1	36
2016:3:1:7:SHUANGHE	0	1	12	11	0	1	34	13	37	26	5	34
2016:3:1:7:SONGSHAN	0	2	10	7	0	0	19	16	29	19	1	33
2016:3:1:7:TAIDONG_1_3	0	1	6	5	0	2	16	10	20	12	0	39
2016:3:1:7:TAIDONG_2	0	0	5	6	0	0	12	12	20	6	4	14
2016:3:1:7:TAOYUAN_1_2	0	0	5	4	0	2	13	13	33	13	3	22
2016:3:1:7:TAOYUAN_3	0	0	2	14	0	0	21	7	19	22	3	40
2016:3:1:7:TOUFEN_MIAOLI	0	1	3	8	0	0	14	8	16	8	0	19
2016:3:1:7:TUCHENG	0	0	4	17	0	0	24	8	39	21	3	34
2016:3:1:7:WANDA	2	2	12	15	2	0	39	17	56	36	2	80
2016:3:1:7:XINAN	0	3	17	16	0	0	48	17	43	27	2	61
2016:3:1:7:XINDIAN	0	0	10	2	0	0	14	10	25	18	0	23
2016:3:1:7:XINZHU	1	1	8	3	1	0	20	8	30	26	0	52
2016:3:1:7:XINZHUANG	0	3	2	4	1	0	9	2	15	8	0	14
2016:3:1:7:XIZHI	0	0	4	6	0	0	13	4	12	13	0	34
2016:3:1:7:YILAN	0	0	2	6	0	0	20	5	27	13	1	37
2016:3:1:7:YULI	0	0	2	7	0	0	9	1	8	7	0	25
2016:3:1:7:ZHONGLI	1	1	2	6	1	0	20	6	17	8	0	13
2016:3:1:7:ZHUBEI	0	0	2	4	0	0	6	7	23	11	1	31
2016:3:1:7:ZHUDONG	0	0	2	3	0	0	5	5	14	8	0	14
2016:3:1:7:ZHUNAN	0	1	6	10	1	1	21	8	33	25	0	37
2016:3:2:7:BADE	0	0	6	10	0	2	23	8	23	10	3	15
2016:3:2:7:BANQIAO	0	0	5	7	1	0	14	6	18	14	0	12
2016:3:2:7:BEITOU	1	2	6	7	1	0	19	8	31	18	1	23
2016:3:2:7:HUALIAN	0	0	5	10	0	0	23	4	10	14	0	19
2016:3:2:7:JIAN	0	0	7	6	0	1	19	5	21	14	2	25
2016:3:2:7:JILONG	0	0	5	9	0	0	15	5	17	5	0	9
2016:3:2:7:JINGXIN	0	1	7	8	0	0	20	11	25	26	1	46
2016:3:2:7:JINHUA	1	0	6	7	3	1	19	7	24	28	0	91
2016:3:2:7:SANCHONG	0	0	8	8	0	0	18	2	27	17	2	36
2016:3:2:7:SHILIN	0	0	0	6	0	0	12	10	27	25	3	63
2016:3:2:7:SHUANGHE	0	0	15	9	1	0	31	10	30	15	2	21
2016:3:2:7:SONGSHAN	0	2	11	12	1	0	26	10	30	8	1	26
