	A	B	BAP	BD	C	CONF	D	LAC	NEXTWEEKBAP	NIMEMREF	NIMISSFIND	OL	PK	RCLA	RCT	SAC
2016:3:0:0:TOUFEN	1	1	0	21	6	0	9	9	2	1	18	38	29	32	1	6
2016:3:0:0:TUCHENG	0	0	0	46	15	0	26	17	0	3	47	68	61	48	1	15
2016:3:0:0:WANDA	1	3	1	35	14	1	6	7	1	1	40	98	53	20	0	12
2016:3:0:0:XIANGSHAN	0	0	1	17	12	1	4	20	1	3	21	39	34	18	0	8
2016:3:0:0:XINAN	1	9	0	90	24	0	33	14	1	9	41	68	50	28	1	31
2016:3:0:0:XINBAN	1	1	0	21	6	0	8	1	1	2	21	39	24	8	1	7
2016:3:0:0:XINDIAN	0	1	0	22	16	0	8	4	1	2	28	53	44	22	0	7
2016:3:0:0:XINPU	1	1	0	29	10	0	10	6	0	2	18	25	32	21	1	13
2016:3:0:0:XINZHU_1	0	1	0	28	16	0	6	8	0	0	27	62	38	23	0	11
2016:3:0:0:XINZHU_3	2	3	1	29	5	1	12	5	2	1	42	84	40	19	1	15
2016:3:0:0:XIZHI	0	2	0	36	10	0	15	8	0	2	43	108	47	42	0	12
2016:3:0:0:YILAN	0	0	0	80	14	0	36	9	1	3	51	104	98	41	0	20
2016:3:0:0:YONGHE	0	0	1	25	6	1	13	12	0	1	26	48	28	16	0	12
2016:3:0:0:YULI	0	0	0	25	8	0	17	8	0	0	23	85	21	28	0	4
2016:3:0:0:ZHONGHE_1	0	0	0	18	5	0	6	10	0	1	12	19	23	14	0	5
2016:3:0:0:ZHONGHE_2	0	2	0	47	23	0	13	7	2	5	25	36	44	28	1	16
2016:3:0:0:ZHONGLI_1	0	2	1	36	10	1	5	7	1	0	17	44	34	19	0	12
2016:3:0:0:ZHONGLI_2	1	0	1	16	0	1	9	2	1	0	5	13	22	18	0	4
2016:3:0:0:ZHUBEI_1	0	1	0	6	3	0	2	11	0	1	8	19	19	10	0	10
2016:3:0:0:ZHUBEI_2	0	1	0	14	6	0	5	8	1	1	22	42	37	30	0	5
2016:3:0:0:ZHUBEI_3	0	0	0	2	0	0	2	7	0	0	9	18	16	13	0	3
2016:3:0:0:ZHUDONG	0	1	0	17	5	0	10	22	0	0	20	43	32	33	1	15
2016:3:0:0:ZHUNAN	0	2	1	47	9	1	28	7	1	0	29	54	54	33	0	16
