	A	B	C	D	NEXTWEEKBAP	BAP	BD	SAC	PK	OL	NIMISSFIND	NIMEMREF
2015:3:0:0:EAST	0	0	0	0	0	3	0	0	0	0	0	0
2015:3:0:0:HSINCHU	0	0	0	0	0	5	0	0	0	0	0	0
2015:3:0:0:HUALIEN	0	0	0	0	0	6	0	0	0	0	0	0
2015:3:0:0:SOUTH	0	0	0	0	0	3	0	0	0	0	0	0
2015:3:0:0:TAOYUAN	0	0	0	0	0	4	0	0	0	0	0	0
2015:3:0:0:WEST	0	0	0	0	0	8	0	0	0	0	0	0
2015:4:0:0:CENTRAL	0	0	0	0	0	10	0	0	0	0	0	0
2015:4:0:0:EAST	0	0	0	0	0	5	0	0	0	0	0	0
2015:4:0:0:HSINCHU	0	0	0	0	0	4	0	0	0	0	0	0
2015:4:0:0:HUALIEN	0	0	0	0	0	4	0	0	0	0	0	0
2015:4:0:0:SOUTH	0	0	0	0	0	4	0	0	0	0	0	0
2015:4:0:0:TAOYUAN	0	0	0	0	0	6	0	0	0	0	0	0
2015:4:0:0:WEST	0	0	0	0	0	3	0	0	0	0	0	0
2015:5:0:0:CENTRAL	0	0	0	0	0	11	0	0	0	0	0	0
2015:5:0:0:EAST	0	0	0	0	0	5	0	0	0	0	0	0
2015:5:0:0:HSINCHU	0	0	0	0	0	4	0	0	0	0	0	0
2015:5:0:0:HUALIEN	0	0	0	0	0	6	0	0	0	0	0	0
2015:5:0:0:SOUTH	0	0	0	0	0	2	0	0	0	0	0	0
2015:5:0:0:TAOYUAN	0	0	0	0	0	6	0	0	0	0	0	0
2015:5:0:0:WEST	0	0	0	0	0	1	0	0	0	0	0	0
2015:6:0:0:CENTRAL	0	0	0	0	0	7	0	0	0	0	0	0
2015:6:0:0:EAST	0	0	0	0	0	4	0	0	0	0	0	0
2015:6:0:0:HSINCHU	0	0	0	0	0	5	0	0	0	0	0	0
2015:6:0:0:HUALIEN	0	0	0	0	0	7	0	0	0	0	0	0
2015:6:0:0:SOUTH	0	0	0	0	0	4	0	0	0	0	0	0
2015:6:0:0:TAOYUAN	0	0	0	0	0	11	0	0	0	0	0	0
2015:6:0:0:WEST	0	0	0	0	0	5	0	0	0	0	0	0
2015:7:0:0:CENTRAL	0	0	0	0	0	6	0	0	0	0	0	0
2015:7:0:0:EAST	0	0	0	0	0	6	0	0	0	0	0	0
2015:7:0:0:HSINCHU	0	0	0	0	0	7	0	0	0	0	0	0
2015:7:0:0:HUALIEN	0	0	0	0	0	6	0	0	0	0	0	0
2015:7:0:0:SOUTH	0	0	0	0	0	5	0	0	0	0	0	0
2015:7:0:0:TAOYUAN	0	0	0	0	0	8	0	0	0	0	0	0
2015:7:0:0:WEST	0	0	0	0	0	7	0	0	0	0	0	0
2015:8:0:0:CENTRAL	0	0	0	0	0	7	0	0	0	0	0	0
2015:8:0:0:EAST	0	0	0	0	0	7	0	0	0	0	0	0
2015:8:0:0:HSINCHU	0	0	0	0	0	4	0	0	0	0	0	0
2015:8:0:0:HUALIEN	0	0	0	0	0	2	0	0	0	0	0	0
2015:8:0:0:SOUTH	0	0	0	0	0	4	0	0	0	0	0	0
2015:8:0:0:TAOYUAN	0	0	0	0	0	10	0	0	0	0	0	0
2015:8:0:0:WEST	0	0	0	0	0	1	0	0	0	0	0	0
2015:9:0:0:CENTRAL	0	0	0	0	0	9	0	0	0	0	0	0
2015:9:0:0:EAST	0	0	0	0	0	7	0	0	0	0	0	0
2015:9:0:0:HSINCHU	0	0	0	0	0	5	0	0	0	0	0	0
2015:9:0:0:HUALIEN	0	0	0	0	0	4	0	0	0	0	0	0
2015:9:0:0:SOUTH	0	0	0	0	0	5	0	0	0	0	0	0
2015:9:0:0:TAOYUAN	0	0	0	0	0	5	0	0	0	0	0	0
2015:9:0:0:WEST	0	0	0	0	0	1	0	0	0	0	0	0
2016:1:0:0:CENTRAL	7	6	49	64	7	10	173	25	184	428	115	0
2016:1:0:0:EAST	0	7	43	93	27	6	185	48	260	281	134	0
2016:1:0:0:HSINCHU	17	8	63	106	20	10	242	57	290	405	173	0
2016:1:0:0:HUALIEN	2	6	76	109	15	2	242	51	221	357	144	0
2016:1:0:0:NORTH	5	6	14	49	5	2	88	14	97	199	79	0
2016:1:0:0:SOUTH	1	3	48	101	21	2	204	51	221	337	170	0
2016:1:0:0:TAOYUAN	7	6	53	99	12	5	249	36	225	369	155	0
2016:1:0:0:WEST	1	13	34	74	8	8	150	33	184	326	114	0
2016:2:0:0:CENTRAL	3	8	96	126	6	2	338	97	355	534	244	29
2016:2:0:0:EAST	0	5	65	133	2	4	262	105	349	550	235	7
2016:2:0:0:HSINCHU	7	22	77	115	13	8	255	104	411	690	289	17
2016:2:0:0:HUALIEN	4	15	98	124	10	8	295	92	297	536	228	19
2016:2:0:0:NORTH	8	11	15	32	0	1	108	42	160	240	112	8
2016:2:0:0:SOUTH	2	8	99	109	9	5	309	121	407	446	275	16
2016:2:0:0:TAOYUAN	7	6	52	124	4	4	319	107	332	555	267	15
2016:2:0:0:WEST	4	14	60	108	4	3	244	87	255	367	171	20
2016:3:0:0:CENTRAL	5	16	96	117	9	4	307	108	342	601	253	21
2016:3:0:0:EAST	2	9	88	166	6	1	327	111	400	446	221	15
2016:3:0:0:HSINCHU	5	19	84	104	12	6	260	143	419	561	294	12
2016:3:0:0:HUALIEN	6	6	99	125	8	6	302	124	345	545	250	12
2016:3:0:0:NORTH	1	12	26	56	3	1	146	72	240	359	167	17
2016:3:0:0:SOUTH	1	7	93	103	8	6	254	115	349	387	215	19
2016:3:0:0:TAOYUAN	2	8	68	129	6	6	320	145	392	459	260	30
2016:3:0:0:UNKNOWN	2	2	15	41	2	0	75	29	83	108	63	3
2016:3:0:0:WEST	5	6	69	93	6	1	208	80	272	290	184	23
