	A	B	C	D	NEXTWEEKBAP	BAP	BD	SAC	PK	NIMISSFIND	NIMEMREF	OL
2016:2:1:7:BADE	2	0	3	7	0	0	16	2	19	15	0	27
2016:2:1:7:BEITOU	0	1	1	5	0	0	14	1	18	10	0	21
2016:2:1:7:DANFENG	0	1	3	3	0	0	7	0	5	2	0	4
2016:2:1:7:GUISHAN	0	0	2	0	0	0	4	2	7	0	0	20
2016:2:1:7:HUALIAN_1	0	1	2	6	0	0	13	3	11	13	1	26
2016:2:1:7:HUALIAN_2	0	0	0	0	0	0	3	6	7	4	0	6
2016:2:1:7:HUALIAN_3	0	0	6	9	0	0	18	1	17	9	0	15
2016:2:1:7:JILONG	0	1	1	11	0	0	13	9	13	8	0	11
2016:2:1:7:JINGXIN	0	0	7	0	0	0	13	3	13	14	0	15
2016:2:1:7:JINHUA	0	1	5	10	0	0	19	4	20	14	2	32
2016:2:1:7:LONGTAN	0	0	0	0	0	1	3	2	4	1	0	7
2016:2:1:7:LUZHOU	0	0	2	7	0	0	10	2	15	17	0	27
2016:2:1:7:MIAOLI	0	1	2	0	0	0	3	4	12	4	0	10
2016:2:1:7:MUZHA	0	1	4	9	0	0	18	5	9	25	0	40
2016:2:1:7:NEIHU	0	0	2	4	0	0	6	1	7	4	0	17
2016:2:1:7:SANCHONG	0	0	2	2	0	0	6	5	21	9	0	16
2016:2:1:7:SANXIA	0	0	1	8	0	0	11	2	12	14	1	19
2016:2:1:7:SHILIN	0	0	1	1	0	0	6	1	9	5	0	18
2016:2:1:7:SIYUAN	0	0	1	1	0	0	4	0	12	1	0	11
2016:2:1:7:SONGSHAN	0	0	10	10	0	1	20	3	23	15	0	22
2016:2:1:7:TAIDONG_1	0	0	1	5	0	0	8	1	10	4	0	23
2016:2:1:7:TAIDONG_2	0	0	7	7	1	1	14	3	14	6	0	14
2016:2:1:7:TAIDONG_3	0	2	3	2	0	0	8	1	5	1	0	10
2016:2:1:7:TAOYUAN_1	0	0	1	0	0	0	1	2	6	3	0	14
2016:2:1:7:TAOYUAN_2	1	0	2	3	0	0	12	2	12	6	0	25
2016:2:1:7:TAOYUAN_3	0	0	1	7	0	0	9	0	12	7	0	16
2016:2:1:7:TAOYUAN_4	0	0	2	8	0	0	11	0	6	9	0	30
2016:2:1:7:TIANMU	0	0	0	0	0	0	0	0	2	0	0	7
2016:2:1:7:TOUFEN	1	0	0	3	0	0	5	0	5	5	0	23
2016:2:1:7:TUCHENG	0	0	5	4	0	0	11	4	22	14	0	24
2016:2:1:7:WANDA	0	0	3	5	0	0	11	4	15	16	1	41
2016:2:1:7:XIANGSHAN	0	0	2	0	0	0	4	0	7	7	0	30
2016:2:1:7:XINAN	0	0	8	8	0	0	30	0	15	15	1	40
2016:2:1:7:XINBAN	1	1	5	2	0	0	12	3	6	9	0	40
2016:2:1:7:XINDIAN	0	0	4	8	0	0	9	5	22	12	0	22
2016:2:1:7:XINPU	0	1	2	8	0	0	13	4	14	3	0	20
2016:2:1:7:XINZHU_1	0	0	3	2	0	0	10	5	10	15	0	27
2016:2:1:7:XINZHU_3	0	1	5	7	0	0	15	1	12	17	0	43
2016:2:1:7:XIZHI	0	0	3	8	0	0	13	4	18	18	0	57
2016:2:1:7:YILAN	0	1	2	7	0	0	18	7	31	23	0	56
2016:2:1:7:YONGHE	0	0	2	2	0	0	7	0	9	6	0	17
2016:2:1:7:YULI	0	0	4	5	0	0	10	1	4	10	0	34
2016:2:1:7:ZHONGHE_1	0	0	1	1	0	0	7	1	6	1	0	10
2016:2:1:7:ZHONGHE_2	0	0	4	10	0	0	20	1	18	9	0	15
2016:2:1:7:ZHONGLI_1	0	0	3	5	0	0	21	3	10	13	0	23
2016:2:1:7:ZHONGLI_2	0	0	1	2	0	0	5	2	9	3	0	9
2016:2:1:7:ZHUBEI_1	0	1	0	1	0	0	2	1	4	4	0	17
2016:2:1:7:ZHUBEI_2	0	0	4	2	0	0	6	0	10	5	0	12
2016:2:1:7:ZHUBEI_3	0	1	0	1	0	0	2	1	4	4	0	17
2016:2:1:7:ZHUDONG	1	1	2	4	0	0	8	3	13	4	0	8
2016:2:1:7:ZHUNAN	0	0	3	5	0	0	10	2	18	7	0	17
2016:2:2:7:ANKANG	0	0	2	4	0	0	7	2	10	9	0	10
2016:2:2:7:BADE	1	0	0	11	1	1	19	10	15	18	2	18
2016:2:2:7:BEITOU	0	1	2	4	0	0	9	3	9	11	0	23
2016:2:2:7:DANFENG	0	1	3	3	0	0	7	1	1	0	0	1
2016:2:2:7:DANSHUI	2	3	2	3	0	0	13	6	16	4	4	7
2016:2:2:7:GUISHAN	0	0	0	1	0	0	4	0	3	6	0	17
2016:2:2:7:HUALIAN_1	1	1	2	10	2	0	18	4	17	5	0	23
2016:2:2:7:HUALIAN_2	0	0	4	0	0	0	7	3	8	8	4	11
2016:2:2:7:HUALIAN_3	0	1	7	4	0	0	12	5	12	13	0	18
2016:2:2:7:JILONG	0	1	1	10	1	0	12	6	10	5	0	10
2016:2:2:7:JINGXIN	0	0	6	1	0	0	12	5	10	9	0	16
2016:2:2:7:JINHUA	0	1	6	5	1	0	21	5	20	18	1	38
2016:2:2:7:LONGTAN	0	0	0	2	0	0	4	3	5	1	0	3
2016:2:2:7:LUZHOU	0	0	2	6	0	0	11	1	6	11	1	26
2016:2:2:7:MIAOLI	0	1	2	0	0	0	4	5	11	6	1	5
2016:2:2:7:MUZHA	0	1	3	9	1	0	16	9	20	13	0	18
2016:2:2:7:NEIHU	0	0	2	4	0	0	6	2	7	4	0	14
2016:2:2:7:SANCHONG	0	1	2	1	0	0	8	5	20	8	0	10
2016:2:2:7:SANXIA	0	0	2	5	0	0	9	7	5	8	0	13
2016:2:2:7:SHILIN	0	0	0	2	0	0	6	2	10	10	1	23
2016:2:2:7:SIYUAN	0	0	1	1	0	0	5	1	3	8	0	12
2016:2:2:7:SONGSHAN	0	0	7	9	0	0	17	5	16	10	2	17
2016:2:2:7:TAIDONG_1	0	0	0	3	0	0	7	2	8	10	1	17
2016:2:2:7:TAIDONG_2	1	0	6	9	1	0	16	2	9	8	3	20
2016:2:2:7:TAIDONG_3	1	2	3	1	1	0	7	4	5	1	0	5
2016:2:2:7:TAOYUAN_1	0	1	1	0	0	0	2	3	4	4	0	9
2016:2:2:7:TAOYUAN_2	1	0	3	2	0	0	12	6	12	3	2	18
2016:2:2:7:TAOYUAN_3	0	0	1	5	0	0	8	2	3	9	0	20
2016:2:2:7:TAOYUAN_4	0	0	2	9	0	0	13	1	5	13	0	40
2016:2:2:7:TIANMU	0	0	0	0	0	0	0	2	1	5	0	11
2016:2:2:7:TOUFEN	0	0	1	2	0	1	4	1	4	2	0	20
2016:2:2:7:TUCHENG	0	1	4	6	1	0	15	6	14	9	2	14
2016:2:2:7:WANDA	0	0	3	7	0	0	14	3	19	11	3	28
2016:2:2:7:XIANGSHAN	0	0	1	0	0	0	2	1	11	7	0	25
2016:2:2:7:XINAN	0	0	9	7	0	0	27	8	11	15	3	18
2016:2:2:7:XINBAN	1	1	2	4	0	0	12	6	6	4	0	18
2016:2:2:7:XINDIAN	0	1	6	5	1	0	13	5	19	14	1	24
2016:2:2:7:XINPU	0	2	3	5	0	0	10	3	11	4	1	8
2016:2:2:7:XINZHU_1	0	1	2	2	1	0	8	5	7	12	0	20
2016:2:2:7:XINZHU_3	0	1	3	7	0	0	12	4	3	8	1	28
2016:2:2:7:XIZHI	0	1	2	5	1	0	15	3	14	13	0	41
2016:2:2:7:YILAN	0	0	2	6	0	1	13	5	10	15	0	53
2016:2:2:7:YONGHE	0	0	3	2	0	0	8	7	10	13	0	31
2016:2:2:7:YULI	0	0	4	5	0	0	10	1	4	13	0	23
2016:2:2:7:ZHONGHE_1	0	0	1	1	0	0	6	1	7	6	0	6
2016:2:2:7:ZHONGHE_2	0	0	8	5	0	0	18	5	14	11	1	20
2016:2:2:7:ZHONGLI_1	0	0	2	3	0	0	15	2	5	12	1	14
2016:2:2:7:ZHONGLI_2	0	0	0	2	0	0	3	1	5	2	0	6
