	A	B	C	D	NEXTWEEKBAP	BAP	BD	SAC	PK	NIMISSFIND	NIMEMREF	OL	N_REPORTS
2016:5:3:7:UNKNOWN	0	1	2	4	0	0	14	1	9	8	1	12	1
2016:5:3:7:WEST	2	1	17	15	2	0	41	22	72	48	5	58	8
2016:5:4:7:CENTRAL	1	2	26	28	3	7	72	68	91	64	7	126	0
2016:5:4:7:EAST	1	1	25	38	0	6	74	43	126	68	8	96	0
2016:5:4:7:HSINCHU	2	6	30	29	6	7	80	41	116	74	2	114	0
2016:5:4:7:HUALIEN	3	4	22	36	7	4	81	37	123	68	8	92	0
2016:5:4:7:NORTH	0	3	13	15	2	2	34	30	82	49	4	69	0
2016:5:4:7:SOUTH	1	5	11	27	5	2	65	27	106	60	3	80	0
2016:5:4:7:TAOYUAN	2	2	18	24	4	0	67	39	109	99	4	102	0
2016:5:4:7:WEST	0	2	18	10	0	2	39	36	70	41	11	58	0
