	A	B	C	D	NEXTWEEKBAP	BAP	BD	SAC	PK	NIMISSFIND	NIMEMREF	OL	N_REPORTS
2016:5:1:7:WEST	0	1	18	23	0	0	58	20	65	41	2	68	
2016:5:1:7:XINZHU	1	2	15	15	2	1	44	19	76	56	6	68	
2016:5:1:7:ZHUNAN	0	1	17	13	0	1	38	23	45	34	6	49	
2016:5:2:7:CENTRAL	2	6	24	34	0	0	85	32	87	49	5	127	
2016:5:2:7:EAST	0	4	27	34	1	1	76	42	106	66	7	101	
2016:5:2:7:HUALIAN	0	5	9	19	3	1	41	11	63	54	1	51	
2016:5:2:7:NORTH	1	3	16	13	1	1	43	21	58	51	3	73	
2016:5:2:7:SOUTH	0	3	17	24	2	1	66	19	99	71	5	91	
2016:5:2:7:TAIDONG	2	1	11	16	1	0	43	18	43	41	17	60	
2016:5:2:7:TAOYUAN	0	1	25	36	0	4	75	27	107	67	8	110	
2016:5:2:7:WEST	1	0	19	15	0	0	49	22	68	49	4	70	
2016:5:2:7:XINZHU	0	2	14	18	2	0	47	20	63	51	6	80	
2016:5:2:7:ZHUNAN	2	4	15	9	1	0	31	29	52	29	3	24	
2016:5:3:7:CENTRAL	7	2	23	33	9	0	89	26	85	62	3	123	12
2016:5:3:7:EAST	3	4	25	38	9	0	77	36	123	69	4	111	13
2016:5:3:7:HUALIAN	0	6	6	15	3	0	34	9	57	44	4	75	6
2016:5:3:7:NORTH	1	3	18	12	2	1	45	25	79	51	1	52	8
2016:5:3:7:SOUTH	0	4	18	20	4	1	62	33	106	65	1	84	11
2016:5:3:7:TAIDONG	1	2	10	19	3	1	46	14	54	60	10	70	7
2016:5:3:7:TAOYUAN	1	2	21	34	1	0	78	29	101	61	8	116	16
2016:5:3:7:UNKNOWN	0	1	2	4	0	0	14	1	9	8	1	12	1
2016:5:3:7:WEST	2	1	17	15	2	0	41	22	72	48	5	58	8
2016:5:3:7:XINZHU	0	0	16	20	1	2	48	15	69	58	6	85	10
2016:5:3:7:ZHUNAN	2	7	13	9	8	0	38	15	46	16	7	42	5
2016:5:4:3:XINZHU	1	0	3	3	1	0	9	6	14	8	0	7	2
2016:5:4:7:CENTRAL	1	2	26	28	3	7	72	68	91	64	7	126	12
2016:5:4:7:EAST	1	1	25	38	0	6	74	43	126	68	8	96	13
2016:5:4:7:HUALIAN	2	2	9	11	4	2	29	19	52	34	2	45	6
2016:5:4:7:NORTH	0	3	13	15	2	2	34	30	82	49	4	69	8
2016:5:4:7:SOUTH	1	5	11	27	5	2	65	27	106	60	3	80	11
2016:5:4:7:TAIDONG	1	2	13	25	3	2	52	18	71	34	6	47	7
2016:5:4:7:TAOYUAN	2	2	18	24	4	0	67	39	109	99	4	102	16
2016:5:4:7:WEST	0	2	18	10	0	2	39	36	70	41	11	58	8
2016:5:4:7:XINZHU	1	4	18	20	4	1	52	24	75	54	0	75	10
2016:5:4:7:ZHUNAN	2	2	13	12	2	6	33	22	49	22	2	41	5
2016:5:5:7:CENTRAL	0	1	25	29	0	3	72	36	74	50	4	103	12
2016:5:5:7:EAST	1	3	23	36	3	0	74	22	111	59	3	84	13
2016:5:5:7:HUALIAN	0	4	7	15	0	2	33	17	57	33	1	47	6
2016:5:5:7:NORTH	2	5	12	20	3	0	49	28	82	48	4	58	8
2016:5:5:7:SOUTH	0	4	14	23	3	4	62	35	86	68	2	84	11
2016:5:5:7:TAIDONG	0	2	17	20	1	2	50	20	51	38	5	55	7
2016:5:5:7:TAOYUAN	1	4	18	31	0	4	67	47	126	75	6	84	16
2016:5:5:7:WEST	0	0	19	16	0	1	42	34	81	44	8	53	8
2016:5:5:7:XINZHU	3	2	18	16	2	0	46	18	68	50	2	62	10
2016:5:5:7:ZHUNAN	2	1	15	12	1	0	35	11	58	29	1	33	5
2016:6:1:4:SOUTH	0	0	2	3	0	0	5	0	7	3	2	6	1
2016:6:1:7:CENTRAL	0	2	35	22	0	0	72	27	67	48	5	92	11
2016:6:1:7:EAST	1	3	29	35	2	2	82	34	101	65	4	97	13
2016:6:1:7:HUALIAN	1	3	5	24	1	0	30	15	62	25	0	43	6
2016:6:1:7:NORTH	3	3	17	23	2	1	59	27	75	38	1	51	8
2016:6:1:7:SOUTH	0	3	14	25	4	1	56	35	90	58	3	80	11
2016:6:1:7:TAIDONG	0	1	17	12	0	1	40	16	35	43	1	59	7
2016:6:1:7:TAOYUAN	2	6	30	28	3	0	80	48	93	71	0	94	16
2016:6:1:7:WEST	0	2	15	18	2	0	45	34	77	46	3	47	8
2016:6:1:7:XINZHU	0	2	18	22	1	1	52	26	59	47	2	60	10
2016:6:1:7:ZHUNAN	2	2	15	12	1	1	33	11	60	29	0	35	5
2016:6:2:7:CENTRAL	2	5	30	23	2	0	84	38	66	73	.5	109	10
2016:6:2:7:EAST	2	1	23	41	2	2	75	32	102	52	3	98	13
2016:6:2:7:HUALIAN	0	4	7	12	0	1	25	10	56	32	0	37	6
2016:6:2:7:NORTH	2	3	16	21	1	2	59	23	62	51	8	68	8
2016:6:2:7:SOUTH	0	1	13	22	0	3	52	30	98	76	5	94	11
2016:6:2:7:TAIDONG	0	1	15	18	0	1	38	21	38	48	3	62	7
2016:6:2:7:TAOYUAN	0	9	30	51	7	3	98	39	111	95	6	110	16
2016:6:2:7:WEST	1	3	16	18	1	1	53	26	72	48	10	56	8
2016:6:2:7:XINZHU	3	2	14	22	4	1	53	26	59	58	1	86	10
2016:6:2:7:ZHUNAN	0	2	15	7	1	1	25	15	43	16	3	41	5
