	@CLASSLEVEL	TOTALSTUDENTS	TOTALNONMEM	NEWSTUDENTS	NEWINV	N_REPORTS
2016:3:4:0:YILAN	beginning	19	16	6	0	3
2016:3:4:0:YULI	adv	2	2	1	0	2
2016:3:4:0:ZHONGLI	beginner	17	14	4	1	3
2016:3:4:0:ZHUBEI	初級	15	11	0	0	2
2016:3:4:0:ZHUDONG	Everyone	8	6	1	0	1
2016:3:4:0:ZHUNAN	gaojiban	9	6	1	0	3
2016:3:5:0:ANKANG	intermediate	19	9	3	0	1
2016:3:5:0:BADE	中	43	28	8	0	3
2016:3:5:0:BEITOU	CHILD	21	16	7	4	2
2016:3:5:0:DANSHUI	beginner	7	4	0	0	2
2016:3:5:0:HUALIAN	gaoji	35	25	6	2	4
2016:3:5:0:JILONG	beginners	26	16	1	3	2
2016:3:5:0:LONGTAN	beginner	10	6	1	0	1
2016:3:5:0:MIAOLI	children	9	6	0	0	1
2016:3:5:0:MUZHA	BEGINNER	12	17	11	0	2
2016:3:5:0:NEIHU	int	29	25	4	0	2
2016:3:5:0:SANCHONG	高級	34	28	2	1	4
2016:3:5:0:SANXIA	advanced	20	18	6	0	2
2016:3:5:0:SHILIN	kids	39	31	14	1	4
2016:3:5:0:SHUANGHE	child	58	53	11	1	4
2016:3:5:0:SONGSHAN	beginner	24	16	5	1	2
2016:3:5:0:TAIDONG	begginer	34	26	7	0	4
2016:3:5:0:TAOYUAN_1_2	Advanced	51	34	1	2	4
2016:3:5:0:TAOYUAN_3	gaoji	40	29	4	3	4
2016:3:5:0:TOUFEN	Zhongji	0	5	0	1	1
2016:3:5:0:TUCHENG	兒童	12	8	1	0	2
2016:3:5:0:WANDA	thelittlekids	34	28	6	1	3
2016:3:5:0:XINBAN	INTERMEDIATE	37	21	16	2	2
2016:3:5:0:XINDIAN	CHUJI	50	35	18	3	4
2016:3:5:0:XINZHU	中級班	60	48	18	1	3
2016:3:5:0:XINZHUANG	Begin	30	29	6	2	2
2016:3:5:0:XIZHI	INTERMEDIATE	18	14	10	0	3
2016:3:5:0:YILAN	beginning	22	18	6	3	3
2016:3:5:0:YULI	CHILDREN	6	6	2	1	2
2016:3:5:0:ZHONGLI	beginner	36	26	12	2	3
2016:3:5:0:ZHUBEI	初級	24	12	6	2	2
2016:3:5:0:ZHUDONG	adv	13	11	3	0	2
2016:3:5:0:ZHUNAN	gaojiban	16	7	3	0	3
2016:4:1:0:ANKANG	intermediate	23	18	8	1	1
2016:4:1:0:BADE	中	44	33	6	2	3
2016:4:1:0:BEITOU	BEGINNER	15	13	5	1	2
2016:4:1:0:DANSHUI	 Intermediate	7	4	1	0	2
2016:4:1:0:HUALIAN	gaoji	34	23	6	1	4
2016:4:1:0:JILONG	Beginner	22	15	2	6	2
2016:4:1:0:LONGTAN	beginner	20	16	4	1	1
2016:4:1:0:MIAOLI	intermediate	6	5	0	0	1
2016:4:1:0:MUZHA	BEGINNER	22	18	6	0	2
2016:4:1:0:NEIHU	中	24	21	3	2	2
2016:4:1:0:SANCHONG	高級	34	25	9	1	4
2016:4:1:0:SANXIA	advanced	20	18	1	1	2
2016:4:1:0:SHILIN	kids	36	31	11	0	4
2016:4:1:0:SHUANGHE	CHILD	51	49	7	1	4
2016:4:1:0:SONGSHAN	INTERMEDIATE	34	30	7	3	2
2016:4:1:0:TAIDONG	BEGINNER	38	25	6	2	4
2016:4:1:0:TAOYUAN_1_2	advanced	61	38	7	1	4
2016:4:1:0:TAOYUAN_3	gao ji	57	42	9	3	4
2016:4:1:0:TOUFEN	 ADVANCED	4	3	0	0	1
2016:4:1:0:TUCHENG	兒童	27	20	2	1	2
2016:4:1:0:WANDA	Kids	37	29	5	0	3
2016:4:1:0:XINBAN	INTERMEDIATE 	38	31	14	5	2
2016:4:1:0:XINDIAN	beginner	30	24	5	0	3
2016:4:1:0:XINZHU	中級班	32	25	6	1	3
2016:4:1:0:XINZHUANG	Begin	31	31	4	1	2
2016:4:1:0:XIZHI	INTERMEDIATE	17	15	4	1	3
2016:4:1:0:YILAN	 beginning	23	19	2	0	3
2016:4:1:0:YULI	ADVANCED	4	3	0	0	2
2016:4:1:0:ZHONGLI	beginner	34	29	5	1	3
2016:4:1:0:ZHUBEI	初級	24	17	9	0	2
2016:4:1:0:ZHUDONG	adv	19	17	3	0	2
2016:4:1:0:ZHUNAN	gao ji ban 	24	10	4	0	3
2016:4:2:0:ANKANG	intermediate	12	4	0	0	1
2016:4:2:0:BADE	中	31	19	7	2	3
2016:4:2:0:BEITOU	CHILD	13	11	4	0	2
2016:4:2:0:DANSHUI	 intermediate	8	7	4	1	2
2016:4:2:0:HUALIAN	Child	19	13	2	1	3
2016:4:2:0:JILONG	beginners	22	16	1	6	2
2016:4:2:0:LONGTAN	advanced	15	12	5	1	1
2016:4:2:0:MIAOLI	children	11	8	2	0	1
2016:4:2:0:MUZHA	BEGINNER	14	12	3	3	2
2016:4:2:0:NEIHU	advanced	8	7	0	0	1
2016:4:2:0:SANCHONG	高級	40	37	16	4	4
2016:4:2:0:SANXIA	advanced	12	11	1	1	2
2016:4:2:0:SHILIN	0	25	20	3	1	4
2016:4:2:0:SHUANGHE	CHILD	38	35	4	0	4
2016:4:2:0:SONGSHAN	INTERMEDIATE	32	24	4	1	2
2016:4:2:0:TAIDONG	BEGINNER	31	25	2	0	4
2016:4:2:0:TAOYUAN_1_2	advanced	44	16	8	1	4
2016:4:2:0:TAOYUAN_3	gaoji	33	31	9	0	4
2016:4:2:0:TOUFEN	 ADVANCED	4	2	0	0	1
2016:4:2:0:TUCHENG	兒童	23	19	2	0	2
2016:4:2:0:WANDA	kids	20	18	0	0	3
2016:4:2:0:XINBAN	INTERMEDIATE 	24	11	9	0	2
2016:4:2:0:XINDIAN	beginners	28	20	3	3	3
2016:4:2:0:XINZHU	中級班	27	19	0	0	4
2016:4:2:0:XINZHUANG	Begin	23	22	5	2	2
2016:4:2:0:XIZHI	INTERMEDIATE	18	17	5	0	3
2016:4:2:0:YILAN	 beginning	31	26	2	6	3
2016:4:2:0:YULI	CHILDREN	8	6	2	1	2
2016:4:2:0:ZHONGLI	beginner	16	14	2	0	3
2016:4:2:0:ZHUBEI	初級	14	12	4	0	2
2016:4:2:0:ZHUDONG	adv	19	12	0	0	2
2016:4:2:0:ZHUNAN	gao ji ban 	9	5	1	0	3
2016:4:3:0:ANKANG	intermediate	18	13	4	0	1
2016:4:3:0:BADE	 party	 50	 47	 3	 1	1
2016:4:3:0:BEITOU	BEGINING	18	17	4	3	2
2016:4:3:0:DANSHUI	 Intermediate	6	5	4	0	1
2016:4:3:0:HUALIAN	gaoji	30	22	7	1	3
2016:4:3:0:LONGTAN	advanced	13	3	1	0	1
2016:4:3:0:MIAOLI	CHILDREN	14	12	1	0	1
2016:4:3:0:MUZHA	 intermediate	5	5	2	1	1
2016:4:3:0:NEIHU	 beginner	4	4	0	0	1
2016:4:3:0:SANCHONG	 Party	50	44	2	1	1
2016:4:3:0:SANXIA	advanced	14	12	5	0	2
2016:4:3:0:SHUANGHE	ALL	31	30	3	0	1
2016:4:3:0:SONGSHAN	INTERMEDIATE	37	32	10	0	2
2016:4:3:0:TAOYUAN_3	gaoji	24	23	5	0	2
2016:4:3:0:TOUFEN	Zhongji	10	7	3	0	1
2016:4:3:0:TUCHENG	高級	29	23	4	1	1
2016:4:3:0:XINBAN	beginner	20	19	2	0	1
2016:4:3:0:XINDIAN	 CHUJI	45	32	7	2	4
2016:4:3:0:XINZHUANG	兒童	24	23	3	1	1
2016:4:3:0:XIZHI	Beginning	22	19	7	1	2
2016:4:3:0:YULI	ADVANCED	4 	4	0	0	1
2016:4:3:0:ZHONGLI	BEGINNER	24	18	2	0	3
2016:4:3:0:ZHUBEI	初級	20	17	2	1	2
2016:4:3:0:ZHUDONG	 party	54	30	13	0	2
2016:4:3:0:ZHUNAN	gao ji ban 	6	1	0	0	1
2016:4:4:0:ANKANG	child	16	10	1	0	1
2016:4:4:0:BADE	intermediate	50	38	13	0	3
2016:4:4:0:BEITOU	BEGINNER	15	14	2	0	2
2016:4:4:0:DANSHUI	 beginner	7	5	2	1	2
2016:4:4:0:HUALIAN	INTERMEDIATE	24	16	3	0	2
2016:4:4:0:JILONG	childrens	24	16	1	1	2
2016:4:4:0:LONGTAN	intermediate 	25	21	6	0	1
2016:4:4:0:MIAOLI	intermediate	10	7	2	0	1
2016:4:4:0:MUZHA	Beginning	16	14	4	3	2
2016:4:4:0:NEIHU	高級	19	16	1	4	2
2016:4:4:0:SANCHONG	高級班	50	42	8	0	4
2016:4:4:0:SANXIA	advanced	16	15	5	2	2
2016:4:4:0:SHILIN	 Advanced	35	29	6	4	3
2016:4:4:0:SHUANGHE	CHILDREN	43	46	4	1	4
2016:4:4:0:SONGSHAN	Intermediate	38	31	5	2	2
2016:4:4:0:TAIDONG	childrens	31	23	4	0	4
2016:4:4:0:TAOYUAN_1_2	advanced	49	28	4	0	4
