	CLASSLEVEL	TOTALSTUDENTS	TOTALNONMEM	NEWSTUDENTS	NEWINV
2016:3:3:3:0:HUALIAN	中	9	6	4	0
2016:3:3:3:0:JIAN	gaoji	7	6	0	0
2016:3:3:3:0:JILONG	Intermediate	31	24	0	0
2016:3:3:3:0:JINGXIN	高級	12	11	0	0
2016:3:3:3:0:JINHUA	CHILDRENSCLASS	11	11	0	0
2016:3:3:3:0:SANCHONG	高級	25	19	3	1
2016:3:3:3:0:SHILIN	Advanced	25	13	6	1
2016:3:3:3:0:SHUANGHE	CHILDREN	34	31	3	0
2016:3:3:3:0:SONGSHAN	ADVANCED	21	18	1	2
2016:3:3:3:0:TAIDONG_1_3	children	21	19	2	0
2016:3:3:3:0:TAIDONG_2	advanced	8	8	0	0
2016:3:3:3:0:TAOYUAN_1_2	begin	50	34	6	1
2016:3:3:3:0:TAOYUAN_3	高級	43	34	10	1
2016:3:3:3:0:TOUFEN_MIAOLI	BEGINNER	13	10	0	0
2016:3:3:3:0:TUCHENG	advanced	43	29	7	4
2016:3:3:3:0:XINAN	intermediate	26	22	13	2
2016:3:3:3:0:XINDIAN	beginner	32	19	6	3
2016:3:3:3:0:XINZHU	中級班	35	30	3	3
2016:3:3:3:0:XINZHUANG	Begin	27	24	4	3
2016:3:3:3:0:XIZHI	ADVANCED	15	7	2	0
2016:3:3:3:0:YILAN	beginning	18	17	3	0
2016:3:3:3:0:YULI	ADVANCED	8	5	1	0
2016:3:3:3:0:ZHONGLI	Children	22	15	3	0
2016:3:3:3:0:ZHUBEI	兒童班	13	3	0	0
2016:3:3:3:0:ZHUDONG	adv	13	13	1	0
2016:3:3:3:0:ZHUNAN	gaojiban	13	10	3	2
2016:3:4:3:0:BADE	中	31	22	9	0
2016:3:4:3:0:BANQIAO	child	37	30	8	4
2016:3:4:3:0:BEITOU	BEGINNER	18	15	6	3
2016:3:4:3:0:JIAN	gaoji	27	20	2	0
2016:3:4:3:0:JILONG	BEGINNER	24	19	0	0
2016:3:4:3:0:JINGXIN	高級	19	16	2	0
2016:3:4:3:0:JINHUA	childrens	23	20	2	1
2016:3:4:3:0:SANCHONG	高級	25	12	8	5
2016:3:4:3:0:SHILIN	kids	20	17	3	0
2016:3:4:3:0:SHUANGHE	child	43	40	6	1
2016:3:4:3:0:SONGSHAN	int	41	33	6	1
2016:3:4:3:0:TAIDONG_1_3	BEGINNER	33	27	3	2
2016:3:4:3:0:TAIDONG_2	advanced	7	5	0	0
2016:3:4:3:0:TAOYUAN_1_2	BEGin	44	29	6	4
2016:3:4:3:0:TAOYUAN_3	兒童	12	4	3	0
2016:3:4:3:0:TOUFEN_MIAOLI	Zhongji	4	2	0	0
2016:3:4:3:0:TUCHENG	beginner	35	25	4	1
2016:3:4:3:0:XINAN	Intermediate	23	21	6	0
2016:3:4:3:0:XINDIAN	INTERMEDIATE	15	4	3	0
2016:3:4:3:0:XINZHU	中級班跟初級班	19	19	2	1
2016:3:4:3:0:XINZHUANG	Begin	24	23	8	0
2016:3:4:3:0:XIZHI	INTERMEDIATE	13	9	4	0
2016:3:4:3:0:YILAN	children	9	7	4	0
2016:3:4:3:0:YULI	adv	2	2	1	0
2016:3:4:3:0:ZHONGLI	beginner	17	14	4	1
2016:3:4:3:0:ZHUBEI	gaoji	29	14	1	0
2016:3:4:3:0:ZHUDONG	Everyone	8	6	1	0
2016:3:4:3:0:ZHUNAN	gaojiban	9	6	1	0
2016:3:4:3:1:TAOYUAN_3	gaoji	40	26	8	1
2016:3:4:3:1:TOUFEN_MIAOLI	intermediate	4	2	0	0
2016:3:4:3:1:XINDIAN	beginner	41	21	7	0
2016:3:4:3:1:YILAN	beginning	19	16	6	0
2016:3:5:3:0:BADE	高	43	28	8	0
2016:3:5:3:0:BANQIAO	child	51	34	18	2
2016:3:5:3:0:BEITOU	BEGINNER	28	20	7	4
2016:3:5:3:0:HUALIAN	Intermediate	9	6	3	1
2016:3:5:3:0:JIAN	gaoji	10	10	1	0
2016:3:5:3:0:JILONG	Intermediate	26	16	1	3
2016:3:5:3:0:JINGXIN	CHUJI	38	30	20	1
